region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from
american,1650-1670,3,108,calling; qualified; exercise; subjects; external; author; obedience; giving; judgments; seal,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",human,
american,1650-1670,0,178,glad; rejoyce; sing; sore; mighty; voyce; foes; ay; goodness; servant,Psalms of Praise & Deliverance,"Religion, Theology & the Church",human,
american,1650-1670,1,146,orders; following; election; matters; ecclesiastical; sort; sect; proposition; consent; immediately,Civil & Ecclesiastical Governance,"Government, Law & Administration",human,
american,1650-1670,7,58,immediate; alledged; denied; manifest; admitted; proved; observed; excommunication; ans; difference,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,human,
american,1650-1670,5,69,thes; col; joh; eternal; eph; pet; jer; conversion; luke; sam,Biblical Book Abbreviations,Structural / Uncertain,human,
american,1650-1670,2,117,loss; personally; died; continued; massachusets; truths; infancy; certain; got; arms,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",human,
american,1650-1670,4,97,conceive; confess; object; easily; plainly; else; eat; doubt; alwayes; enough,Verbs of Belief & Doubt,Structural / Uncertain,human,
american,1650-1670,6,67,express; granted; safety; seems; darkness; observe; sound; deep; search; large,Divine Judgment & Darkness,"Religion, Theology & the Church",human,
american,1670-1690,0,553,prudence; internal; enjoyment; maintaining; operation; institution; constitution; consists; concernments; administration,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",inherited,1650-1670#3
american,1670-1690,7,288,anno; lib; samuel; col; ult; stubs; cap; thomas; gal; daughter,Biblical Book Abbreviations,Structural / Uncertain,inherited,1650-1670#5
american,1670-1690,3,390,corruptions; hypocrisie; uncleanness; grievous; notorious; sore; odious; hellish; malice; imaginations,Divine Judgment & Darkness,"Religion, Theology & the Church",inherited,1650-1670#6
american,1670-1690,5,337,secretary; deputies; governours; clerk; commissioners; fines; damage; colonies; treasurer; territories,Civil & Ecclesiastical Governance,"Government, Law & Administration",inherited,1650-1670#1
american,1670-1690,4,352,wigwams; pequots; germany; narraganset; fort; swamp; north; eighty; massachusets; pound,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",inherited,1650-1670#2
american,1670-1690,2,394,approve; yield; encourage; quicken; submit; heal; subdue; promote; procure; expose,Verbs of Belief & Doubt,Structural / Uncertain,inherited,1650-1670#4
american,1670-1690,1,433,mountains; flame; powder; rocks; flood; wind; waves; hill; ice; fields,Psalms of Praise & Deliverance,"Religion, Theology & the Church",inherited,1650-1670#0
american,1670-1690,9,207,affirmed; published; owned; observed; relates; performed; membership; discovered; infants; forsaken,"Argument, Proof & Rebuttal",Rhetoric & Persuasion,inherited,1650-1670#7
american,1670-1690,6,309,asserted; proposition; testimonies; points; properties; epistle; forms; writers; cities; expressed,Theological Argument & Scholarly Writing,"Books, Learning & Scholarship",human,
american,1670-1690,8,244,struck; throw; blown; pulled; ran; fled; tread; sink; cutting; driven,Verbs of Violent Motion,Structural / Uncertain,human,
american,1670-1690,10,90,giveth; helped; sheweth; hates; gives; spake; teacheth; sets; makes; replied,Archaic Third-Person Verb Forms,Structural / Uncertain,human,
american,1690-1710,0,737,sanctification; fidelity; essential; management; perfection; activity; abilities; vertues; passions; affectionate,"Calling, Obedience & Divine Ordinance","Religion, Theology & the Church",inherited,1670-1690#0
american,1690-1710,1,511,commissioner; sheriffs; assessments; collectors; collecting; rates; excise; assessment; commissioners; collector,Civil & Ecclesiastical Governance,"Government, Law & Administration",inherited,1670-1690#5
american,1690-1710,10,245,cum; ac; lib; isaiah; ab; quam; ed; si; qui; daniel,Biblical Book Abbreviations,Structural / Uncertain,inherited,1670-1690#7
american,1690-1710,11,215,november; february; december; october; july; september; nine; month; june; january,Colonial Settlement Narrative,"History, Genealogy, Nobility & Kinship",inherited,1670-1690#4
american,1690-1710,8,273,smith; esq; samuel; nicholas; governor; daughter; samuell; majesty's; edward; van,Personal Names & Titles,Structural / Uncertain,human,
